X,Y,CLASE
-1,1,AZUL
-1,0.9,AZUL
-1,0.8,AZUL
-1,0.7,AZUL
-1,0.6,AZUL
-1,0.5,AZUL
-1,0.4,AZUL
-1,0.3,AZUL
-1,0.2,AZUL
-1,0.1,AZUL
-0.9,1,AZUL
-0.9,0.9,AZUL
-0.9,0.8,AZUL
-0.9,0.7,AZUL
-0.9,0.6,AZUL
-0.9,0.5,AZUL
-0.9,0.4,AZUL
-0.9,0.3,AZUL
-0.9,0.2,AZUL
-0.9,0.1,AZUL
-0.8,1,AZUL
-0.8,0.9,AZUL
-0.8,0.8,AZUL
-0.8,0.7,AZUL
-0.8,0.6,AZUL
-0.8,0.5,AZUL
-0.8,0.4,AZUL
-0.8,0.3,AZUL
-0.8,0.2,AZUL
-0.8,0.1,AZUL
-0.7,1,AZUL
-0.7,0.9,AZUL
-0.7,0.8,AZUL
-0.7,0.7,AZUL
-0.7,0.6,AZUL
-0.7,0.5,AZUL
-0.7,0.4,AZUL
-0.7,0.3,AZUL
-0.7,0.2,AZUL
-0.7,0.1,AZUL
-0.6,1,AZUL
-0.6,0.9,AZUL
-0.6,0.8,AZUL
-0.6,0.7,AZUL
-0.6,0.6,AZUL
-0.6,0.5,AZUL
-0.6,0.4,AZUL
-0.6,0.3,AZUL
-0.6,0.2,AZUL
-0.6,0.1,AZUL
-0.5,1,AZUL
-0.5,0.9,AZUL
-0.5,0.8,AZUL
-0.5,0.7,AZUL
-0.5,0.6,AZUL
-0.5,0.5,AZUL
-0.5,0.4,AZUL
-0.5,0.3,AZUL
-0.5,0.2,AZUL
-0.5,0.1,AZUL
-0.4,1,AZUL
-0.4,0.9,AZUL
-0.4,0.8,AZUL
-0.4,0.7,AZUL
-0.4,0.6,AZUL
-0.4,0.5,AZUL
-0.4,0.4,AZUL
-0.4,0.3,AZUL
-0.4,0.2,AZUL
-0.4,0.1,AZUL
-0.3,1,AZUL
-0.3,0.9,AZUL
-0.3,0.8,AZUL
-0.3,0.7,AZUL
-0.3,0.6,AZUL
-0.3,0.5,AZUL
-0.3,0.4,AZUL
-0.3,0.3,AZUL
-0.3,0.2,AZUL
-0.3,0.1,AZUL
-0.2,1,AZUL
-0.2,0.9,AZUL
-0.2,0.8,AZUL
-0.2,0.7,AZUL
-0.2,0.6,AZUL
-0.2,0.5,AZUL
-0.2,0.4,AZUL
-0.2,0.3,AZUL
-0.2,0.2,AZUL
-0.2,0.1,AZUL
-0.1,1,AZUL
-0.1,0.9,AZUL
-0.1,0.8,AZUL
-0.1,0.7,AZUL
-0.1,0.6,AZUL
-0.1,0.5,AZUL
-0.1,0.4,AZUL
-0.1,0.3,AZUL
-0.1,0.2,AZUL
-0.1,0.1,AZUL
0.1,-0.1,AZUL
0.1,-0.2,AZUL
0.1,-0.3,AZUL
0.1,-0.4,AZUL
0.1,-0.5,AZUL
0.1,-0.6,AZUL
0.1,-0.7,AZUL
0.1,-0.8,AZUL
0.1,-0.9,AZUL
0.1,-1,AZUL
0.2,-0.1,AZUL
0.2,-0.2,AZUL
0.2,-0.3,AZUL
0.2,-0.4,AZUL
0.2,-0.5,AZUL
0.2,-0.6,AZUL
0.2,-0.7,AZUL
0.2,-0.8,AZUL
0.2,-0.9,AZUL
0.2,-1,AZUL
0.3,-0.1,AZUL
0.3,-0.2,AZUL
0.3,-0.3,AZUL
0.3,-0.4,AZUL
0.3,-0.5,AZUL
0.3,-0.6,AZUL
0.3,-0.7,AZUL
0.3,-0.8,AZUL
0.3,-0.9,AZUL
0.3,-1,AZUL
0.4,-0.1,AZUL
0.4,-0.2,AZUL
0.4,-0.3,AZUL
0.4,-0.4,AZUL
0.4,-0.5,AZUL
0.4,-0.6,AZUL
0.4,-0.7,AZUL
0.4,-0.8,AZUL
0.4,-0.9,AZUL
0.4,-1,AZUL
0.5,-0.1,AZUL
0.5,-0.2,AZUL
0.5,-0.3,AZUL
0.5,-0.4,AZUL
0.5,-0.5,AZUL
0.5,-0.6,AZUL
0.5,-0.7,AZUL
0.5,-0.8,AZUL
0.5,-0.9,AZUL
0.5,-1,AZUL
0.6,-0.1,AZUL
0.6,-0.2,AZUL
0.6,-0.3,AZUL
0.6,-0.4,AZUL
0.6,-0.5,AZUL
0.6,-0.6,AZUL
0.6,-0.7,AZUL
0.6,-0.8,AZUL
0.6,-0.9,AZUL
0.6,-1,AZUL
0.7,-0.1,AZUL
0.7,-0.2,AZUL
0.7,-0.3,AZUL
0.7,-0.4,AZUL
0.7,-0.5,AZUL
0.7,-0.6,AZUL
0.7,-0.7,AZUL
0.7,-0.8,AZUL
0.7,-0.9,AZUL
0.7,-1,AZUL
0.8,-0.1,AZUL
0.8,-0.2,AZUL
0.8,-0.3,AZUL
0.8,-0.4,AZUL
0.8,-0.5,AZUL
0.8,-0.6,AZUL
0.8,-0.7,AZUL
0.8,-0.8,AZUL
0.8,-0.9,AZUL
0.8,-1,AZUL
0.9,-0.1,AZUL
0.9,-0.2,AZUL
0.9,-0.3,AZUL
0.9,-0.4,AZUL
0.9,-0.5,AZUL
0.9,-0.6,AZUL
0.9,-0.7,AZUL
0.9,-0.8,AZUL
0.9,-0.9,AZUL
0.9,-1,AZUL
1,-0.1,AZUL
1,-0.2,AZUL
1,-0.3,AZUL
1,-0.4,AZUL
1,-0.5,AZUL
1,-0.6,AZUL
1,-0.7,AZUL
1,-0.8,AZUL
1,-0.9,AZUL
1,-1,AZUL
-1,-1,NARANJA
-1,-0.9,NARANJA
-1,-0.8,NARANJA
-1,-0.7,NARANJA
-1,-0.6,NARANJA
-1,-0.5,NARANJA
-1,-0.4,NARANJA
-1,-0.3,NARANJA
-1,-0.2,NARANJA
-1,-0.1,NARANJA
-0.9,-1,NARANJA
-0.9,-0.9,NARANJA
-0.9,-0.8,NARANJA
-0.9,-0.7,NARANJA
-0.9,-0.6,NARANJA
-0.9,-0.5,NARANJA
-0.9,-0.4,NARANJA
-0.9,-0.3,NARANJA
-0.9,-0.2,NARANJA
-0.9,-0.1,NARANJA
-0.8,-1,NARANJA
-0.8,-0.9,NARANJA
-0.8,-0.8,NARANJA
-0.8,-0.7,NARANJA
-0.8,-0.6,NARANJA
-0.8,-0.5,NARANJA
-0.8,-0.4,NARANJA
-0.8,-0.3,NARANJA
-0.8,-0.2,NARANJA
-0.8,-0.1,NARANJA
-0.7,-1,NARANJA
-0.7,-0.9,NARANJA
-0.7,-0.8,NARANJA
-0.7,-0.7,NARANJA
-0.7,-0.6,NARANJA
-0.7,-0.5,NARANJA
-0.7,-0.4,NARANJA
-0.7,-0.3,NARANJA
-0.7,-0.2,NARANJA
-0.7,-0.1,NARANJA
-0.6,-1,NARANJA
-0.6,-0.9,NARANJA
-0.6,-0.8,NARANJA
-0.6,-0.7,NARANJA
-0.6,-0.6,NARANJA
-0.6,-0.5,NARANJA
-0.6,-0.4,NARANJA
-0.6,-0.3,NARANJA
-0.6,-0.2,NARANJA
-0.6,-0.1,NARANJA
-0.5,-1,NARANJA
-0.5,-0.9,NARANJA
-0.5,-0.8,NARANJA
-0.5,-0.7,NARANJA
-0.5,-0.6,NARANJA
-0.5,-0.5,NARANJA
-0.5,-0.4,NARANJA
-0.5,-0.3,NARANJA
-0.5,-0.2,NARANJA
-0.5,-0.1,NARANJA
-0.4,-1,NARANJA
-0.4,-0.9,NARANJA
-0.4,-0.8,NARANJA
-0.4,-0.7,NARANJA
-0.4,-0.6,NARANJA
-0.4,-0.5,NARANJA
-0.4,-0.4,NARANJA
-0.4,-0.3,NARANJA
-0.4,-0.2,NARANJA
-0.4,-0.1,NARANJA
-0.3,-1,NARANJA
-0.3,-0.9,NARANJA
-0.3,-0.8,NARANJA
-0.3,-0.7,NARANJA
-0.3,-0.6,NARANJA
-0.3,-0.5,NARANJA
-0.3,-0.4,NARANJA
-0.3,-0.3,NARANJA
-0.3,-0.2,NARANJA
-0.3,-0.1,NARANJA
-0.2,-1,NARANJA
-0.2,-0.9,NARANJA
-0.2,-0.8,NARANJA
-0.2,-0.7,NARANJA
-0.2,-0.6,NARANJA
-0.2,-0.5,NARANJA
-0.2,-0.4,NARANJA
-0.2,-0.3,NARANJA
-0.2,-0.2,NARANJA
-0.2,-0.1,NARANJA
-0.1,-1,NARANJA
-0.1,-0.9,NARANJA
-0.1,-0.8,NARANJA
-0.1,-0.7,NARANJA
-0.1,-0.6,NARANJA
-0.1,-0.5,NARANJA
-0.1,-0.4,NARANJA
-0.1,-0.3,NARANJA
-0.1,-0.2,NARANJA
-0.1,-0.1,NARANJA
0.1,0.1,NARANJA
0.1,0.2,NARANJA
0.1,0.3,NARANJA
0.1,0.4,NARANJA
0.1,0.5,NARANJA
0.1,0.6,NARANJA
0.1,0.7,NARANJA
0.1,0.8,NARANJA
0.1,0.9,NARANJA
0.1,1,NARANJA
0.2,0.1,NARANJA
0.2,0.2,NARANJA
0.2,0.3,NARANJA
0.2,0.4,NARANJA
0.2,0.5,NARANJA
0.2,0.6,NARANJA
0.2,0.7,NARANJA
0.2,0.8,NARANJA
0.2,0.9,NARANJA
0.2,1,NARANJA
0.3,0.1,NARANJA
0.3,0.2,NARANJA
0.3,0.3,NARANJA
0.3,0.4,NARANJA
0.3,0.5,NARANJA
0.3,0.6,NARANJA
0.3,0.7,NARANJA
0.3,0.8,NARANJA
0.3,0.9,NARANJA
0.3,1,NARANJA
0.4,0.1,NARANJA
0.4,0.2,NARANJA
0.4,0.3,NARANJA
0.4,0.4,NARANJA
0.4,0.5,NARANJA
0.4,0.6,NARANJA
0.4,0.7,NARANJA
0.4,0.8,NARANJA
0.4,0.9,NARANJA
0.4,1,NARANJA
0.5,0.1,NARANJA
0.5,0.2,NARANJA
0.5,0.3,NARANJA
0.5,0.4,NARANJA
0.5,0.5,NARANJA
0.5,0.6,NARANJA
0.5,0.7,NARANJA
0.5,0.8,NARANJA
0.5,0.9,NARANJA
0.5,1,NARANJA
0.6,0.1,NARANJA
0.6,0.2,NARANJA
0.6,0.3,NARANJA
0.6,0.4,NARANJA
0.6,0.5,NARANJA
0.6,0.6,NARANJA
0.6,0.7,NARANJA
0.6,0.8,NARANJA
0.6,0.9,NARANJA
0.6,1,NARANJA
0.7,0.1,NARANJA
0.7,0.2,NARANJA
0.7,0.3,NARANJA
0.7,0.4,NARANJA
0.7,0.5,NARANJA
0.7,0.6,NARANJA
0.7,0.7,NARANJA
0.7,0.8,NARANJA
0.7,0.9,NARANJA
0.7,1,NARANJA
0.8,0.1,NARANJA
0.8,0.2,NARANJA
0.8,0.3,NARANJA
0.8,0.4,NARANJA
0.8,0.5,NARANJA
0.8,0.6,NARANJA
0.8,0.7,NARANJA
0.8,0.8,NARANJA
0.8,0.9,NARANJA
0.8,1,NARANJA
0.9,0.1,NARANJA
0.9,0.2,NARANJA
0.9,0.3,NARANJA
0.9,0.4,NARANJA
0.9,0.5,NARANJA
0.9,0.6,NARANJA
0.9,0.7,NARANJA
0.9,0.8,NARANJA
0.9,0.9,NARANJA
0.9,1,NARANJA
1,0.1,NARANJA
1,0.2,NARANJA
1,0.3,NARANJA
1,0.4,NARANJA
1,0.5,NARANJA
1,0.6,NARANJA
1,0.7,NARANJA
1,0.8,NARANJA
1,0.9,NARANJA
1,1,NARANJA
